codigo,etapa,ano,area,componente,unidade_tematica,objeto_conhecimento,descricao,palavras_chave,temas_relacionados,steam_relacionado,cultura_maker,fonte_url,observacoes
EF06CI01,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Classificar como homogênea ou heterogênea a mistura de dois ou mais materiais (água e sal, água e óleo, água e areia etc.).","{""classificar"",""homogenea"",""heterogenea"",""mistura"",""materiais"",""areia""}","{""classificar"",""homogenea"",""heterogenea"",""mistura"",""materiais"",""areia""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI02,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Identificar evidências de transformações químicas a partir do resultado de misturas de materiais que originam produtos diferentes dos que foram misturados (mistura de ingredientes para fazer um bolo, mistura de vinagre com bicarbonato de sódio etc.).","{""evidencias"",""transformacoes"",""quimicas"",""resultado"",""misturas"",""materiais"",""originam"",""produtos"",""foram"",""misturados""}","{""evidencias"",""transformacoes"",""quimicas"",""resultado"",""misturas"",""materiais""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI03,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Selecionar métodos mais adequados para a separação de diferentes sistemas heterogêneos a partir da identificação de processos de separação de materiais (como a produção de sal de cozinha, a destilação de petróleo, entre outros).","{""selecionar"",""metodos"",""adequados"",""separacao"",""sistemas"",""heterogeneos"",""identificacao"",""processos"",""materiais"",""producao""}","{""selecionar"",""metodos"",""adequados"",""separacao"",""sistemas"",""heterogeneos""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI04,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Associar a produção de medicamentos e outros materiais sintéticos ao desenvolvimento científico e tecnológico, reconhecendo benefícios e avaliando impactos socioambientais.","{""associar"",""producao"",""medicamentos"",""outros"",""materiais"",""sinteticos"",""desenvolvimento"",""cientifico"",""tecnologico"",""reconhecendo""}","{""associar"",""producao"",""medicamentos"",""outros"",""materiais"",""sinteticos""}","{""ciencia"",""tecnologia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI05,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,Explicar a organização básica das células e seu papel como unidade estrutural e funcional dos seres vivos.,"{""explicar"",""organizacao"",""basica"",""celulas"",""papel"",""unidade"",""estrutural"",""funcional"",""seres"",""vivos""}","{""explicar"",""organizacao"",""basica"",""celulas"",""papel"",""unidade""}","{""ciencia"",""engenharia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI06,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Concluir, com base na análise de ilustrações e/ou modelos (físicos ou digitais), que os organismos são um complexo arranjo de sistemas com diferentes níveis de organização.","{""concluir"",""analise"",""ilustracoes"",""modelos"",""fisicos"",""digitais"",""organismos"",""complexo"",""arranjo"",""sistemas""}","{""concluir"",""analise"",""ilustracoes"",""modelos"",""fisicos"",""digitais""}","{""ciencia""}",true,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI07,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Justificar o papel do sistema nervoso na coordenação das ações motoras e sensoriais do corpo, com base na análise de suas estruturas básicas e respectivas funções.","{""justificar"",""papel"",""sistema"",""nervoso"",""coordenacao"",""acoes"",""motoras"",""sensoriais"",""corpo"",""analise""}","{""justificar"",""papel"",""sistema"",""nervoso"",""coordenacao"",""acoes""}","{""ciencia"",""engenharia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI08,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Explicar a importância da visão (captação e interpretação das imagens) na interação do organismo com o meio e, com base no funcionamento do olho humano, selecionar lentes adequadas para a correção de diferentes defeitos da visão.","{""explicar"",""importancia"",""visao"",""captacao"",""interpretacao"",""imagens"",""interacao"",""organismo"",""funcionamento"",""humano""}","{""explicar"",""importancia"",""visao"",""captacao"",""interpretacao"",""imagens""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI09,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Deduzir que a estrutura, a sustentação e a movimentação dos animais resultam da interação entre os sistemas muscular, ósseo e nervoso.","{""deduzir"",""estrutura"",""sustentacao"",""movimentacao"",""animais"",""resultam"",""interacao"",""sistemas"",""muscular"",""osseo""}","{""deduzir"",""estrutura"",""sustentacao"",""movimentacao"",""animais"",""resultam""}","{""ciencia"",""engenharia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI10,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,Explicar como o funcionamento do sistema nervoso pode ser afetado por substâncias psicoativas.,"{""explicar"",""funcionamento"",""sistema"",""nervoso"",""afetado"",""substancias"",""psicoativas""}","{""explicar"",""funcionamento"",""sistema"",""nervoso"",""afetado"",""substancias""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI11,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,Identificar as diferentes camadas que estruturam o planeta Terra (da estrutura interna à atmosfera) e suas principais características.,"{""camadas"",""estruturam"",""planeta"",""terra"",""estrutura"",""interna"",""atmosfera"",""principais"",""caracteristicas""}","{""camadas"",""estruturam"",""planeta"",""terra"",""estrutura"",""interna""}","{""ciencia"",""engenharia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI12,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Identificar diferentes tipos de rocha, relacionando a formação de fósseis a rochas sedimentares em diferentes períodos geológicos.","{""tipos"",""rocha"",""relacionando"",""formacao"",""fosseis"",""rochas"",""sedimentares"",""periodos"",""geologicos""}","{""tipos"",""rocha"",""relacionando"",""formacao"",""fosseis"",""rochas""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI13,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,Selecionar argumentos e evidências que demonstrem a esfericidade da Terra.,"{""selecionar"",""argumentos"",""evidencias"",""demonstrem"",""esfericidade"",""terra""}","{""selecionar"",""argumentos"",""evidencias"",""demonstrem"",""esfericidade"",""terra""}","{""ciencia""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
EF06CI14,Ensino Fundamental - Anos Finais,6º ano,Ciências da Natureza,Ciências,,,"Inferir que as mudanças na sombra de uma vara (gnômon) ao longo do dia em diferentes períodos do ano são uma evidência dos movimentos relativos entre a Terra e o Sol, que podem ser explicados por meio dos movimentos de rotação e translação da Terra e da inclinação de seu eixo de rotação em relação ao plano de sua órbita em torno do Sol.","{""inferir"",""mudancas"",""sombra"",""gnomon"",""longo"",""periodos"",""evidencia"",""movimentos"",""relativos"",""terra""}","{""inferir"",""mudancas"",""sombra"",""gnomon"",""longo"",""periodos""}","{""ciencia"",""artes""}",false,https://catalogobncc.github.io/metadados/2022/03/30/efci,Importado dos metadados públicos do Catálogo BNCC. Revisar unidade temática e objeto de conhecimento na planilha oficial BNCC/MEC.
